ptp4l[339819.652]: port 1 (enxb827ebcf092b): INITIALIZING to SLAVE on INIT_COMPLETE
ptp4l[339819.653]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[339819.654]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[340154.292]: master offset -1398969815 s0 freq   -6876 path delay    304142
ptp4l[340157.362]: master offset -1399046934 s0 freq   -6876 path delay    304142
ptp4l[340157.370]: master offset -1399024404 s0 freq   -6876 path delay    293522
ptp4l[340158.653]: master offset -1399041661 s0 freq   -6876 path delay    293522
ptp4l[340158.654]: master offset -1399009784 s1 freq   -7929 path delay    290120
ptp4l[340160.513]: master offset -1407509356 s0 freq   -7929 path delay    290120
ptp4l[340161.277]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340161.278]: master offset -1407499567 s0 freq   -7929 path delay    290120
ptp4l[340163.181]: master offset -1407509558 s0 freq   -7929 path delay    293522
ptp4l[340164.429]: master offset -1407488495 s0 freq   -7929 path delay    293522
ptp4l[340164.436]: master offset -1407432354 s0 freq   -7929 path delay    293522
ptp4l[340165.470]: master offset -1407524261 s0 freq   -7929 path delay    293522
